date,value
2000-01-31,1.288989455552255
2000-02-29,1.2506045630238016
2000-03-31,1.2238406521419694
2000-04-30,1.1988885611759683
2000-05-31,1.1941962380402502
2000-06-30,1.2023997450729114
2000-07-31,1.190703249498272
2000-08-31,1.1883500810210028
2000-09-30,1.1860085045066755
2000-10-31,1.1941959399421258
2000-11-30,1.197736046483456
2000-12-31,1.2012831423762995
2001-01-31,1.2071545164837107
2001-02-28,1.2226921488740952
2001-03-31,1.2384923456289296
2001-04-30,1.249539353667245
2001-05-31,1.249539353667245
2001-06-30,1.2373606075301375
2001-07-31,1.2215593424045068
2001-08-31,1.2094646954500068
2001-09-30,1.201107091434064
2001-10-31,1.1893430650732995
2001-11-30,1.188171298506725
2001-12-31,1.1881712985067248
2002-01-31,1.1916387244751294
2002-02-28,1.1788254048571174
2002-03-31,1.1695706421104468
2002-04-30,1.162677298443784
2002-05-31,1.1615351792901065
2002-06-30,1.1489595031363748
2002-07-31,1.151245989709781
2002-08-31,1.1523972356994907
2002-09-30,1.1501061875171856
2002-10-31,1.1501061875171856
2002-11-30,1.1523746415359573
2002-12-31,1.1512404145265716
2003-01-31,1.1434240392582051
2003-02-28,1.1479435018639688
2003-03-31,1.147943501863969
2003-04-30,1.145674838816807
2003-05-31,1.1355361234290475
2003-06-30,1.138925783498985
2003-07-31,1.1389257834989848
2003-08-31,1.1332368435214675
2003-09-30,1.1321081215657687
2003-10-31,1.1309883311388986
2003-11-30,1.124309266191228
2003-12-31,1.1198784907579618
2004-01-31,1.1133167027261768
2004-02-29,1.1067419977888173
2004-03-31,1.1034578969051712
2004-04-30,1.1034578969051712
2004-05-31,1.1023631966106227
2004-06-30,1.1023631966106227
2004-07-31,1.1045525971997203
2004-08-31,1.113424505610963
2004-09-30,1.1145345998339053
2004-10-31,1.115638099437701
2004-11-30,1.116742691615362
2004-12-31,1.1167426916153622
2005-01-31,1.1255186656162688
2005-02-28,1.1277474154491722
2005-03-31,1.1333414006448526
2005-04-30,1.1344635208435105
2005-05-31,1.1355900983220046
2005-06-30,1.1333369433650162
2005-07-31,1.12884403179568
2005-08-31,1.123222298569606
2005-09-30,1.1221035512602737
2005-10-31,1.1165540777129925
2005-11-30,1.112136455249242
2005-12-31,1.1088363470734286
2006-01-31,1.1066748727126616
2006-02-28,1.1121426339414793
2006-03-31,1.1066532823425579
2006-04-30,1.0989909945320755
2006-05-31,1.09572018800073
2006-06-30,1.0924526327681232
2006-07-31,1.0946266678582093
2006-08-31,1.0979138350289546
2006-09-30,1.0957245751385678
2006-10-31,1.092457006823045
2006-11-30,1.0913721438569841
2006-12-31,1.0913721438569841
2007-01-31,1.0839115920923368
2007-02-28,1.0775168334369245
2007-03-31,1.0753789032118515
2007-04-30,1.0775210922620742
2007-05-31,1.0785932525528823
2007-06-30,1.0861208226105796
2007-07-31,1.088277964264225
2007-08-31,1.0871918585114664
2007-09-30,1.0947945987807775
2007-10-31,1.1089843592834197
2007-11-30,1.115598580114136
2007-12-31,1.1189188139835233
2008-01-31,1.125520104921479
2008-02-29,1.1266333790114114
2008-03-31,1.133352862385237
2008-04-30,1.1423656088057954
2008-05-31,1.1514500271660801
2008-06-30,1.1514500271660801
2008-07-31,1.1468853095162639
2008-08-31,1.150322528226103
2008-09-30,1.150322528226103
2008-10-31,1.1423970777363561
2008-11-30,1.1378816742670426
2008-12-31,1.13337966962108
2009-01-31,1.13448756763635
2009-02-28,1.1400927433657788
2009-03-31,1.1412193172228595
2009-04-30,1.1333410773603743
2009-05-31,1.1243995303989511
2009-06-30,1.1199464629518268
2009-07-31,1.1210608375418287
2009-08-31,1.1165944597030169
2009-09-30,1.107732598911723
2009-10-31,1.0978519315279711
2009-11-30,1.0924062374231696
2009-12-31,1.089151799774441
2010-01-31,1.0806428013387033
2010-02-28,1.0721421696664224
2010-03-31,1.0647334873488856
2010-04-30,1.060504158700032
2010-05-31,1.059449979615837
2010-06-30,1.0573437172309148
2010-07-31,1.0552416422463602
2010-08-31,1.0615730920998385
2010-09-30,1.0700656768366372
2010-10-31,1.0754160052208201
2010-11-30,1.0807770022558194
2010-12-31,1.088312300080312
2011-01-31,1.0968816882699208
2011-02-28,1.0957945904619226
2011-03-31,1.0957945904619226
2011-04-30,1.0968871075012665
2011-05-31,1.0968871075012667
2011-06-30,1.0947020734225787
2011-07-31,1.0903407105802576
2011-08-31,1.0816700091044702
2011-09-30,1.07308532649253
2011-10-31,1.07308532649253
2011-11-30,1.0688270513874008
2011-12-31,1.0614266662640461
2012-01-31,1.0417322261673496
2012-02-29,1.0375983681270031
2012-03-31,1.0375983681270031
2012-04-30,1.0365649036169164
2012-05-31,1.0365649036169164
2012-06-30,1.04380637499947
2012-07-31,1.0563320514994636
2012-08-31,1.0595073983476584
2012-09-30,1.0658644427377444
2012-10-31,1.0658644427377444
2012-11-30,1.06480282476689
2012-12-31,1.065863385349327
2013-01-31,1.0711661882615129
2013-02-28,1.0732999854492846
2013-03-31,1.0700992896676267
2013-04-30,1.0722330868553986
2013-05-31,1.0743668840431708
2013-06-30,1.0690429648952857
2013-07-31,1.0648174986308774
2013-08-31,1.0648174986308774
2013-09-30,1.0605836318371165
2013-10-31,1.061638938933472
2013-11-30,1.0648143295783379
2013-12-31,1.0648143295783379
2014-01-31,1.0605972431245623
2014-02-28,1.0616515147380061
2014-03-31,1.0690608473433563
2014-04-30,1.0733158158899967
2014-05-31,1.0754475255541278
2014-06-30,1.0775898513022437
2014-07-31,1.0743827386495584
2014-08-31,1.0754560480787787
2014-09-30,1.0808225952248804
